儻 U+513B
儼 U+513C
儽 U+513D
儾 U+513E
儿 U+513F
兀 U+5140
允 U+5141
元 U+5143
兄 U+5144
充 U+5145
兆 U+5146
兇 U+5147
先 U+5148
光 U+5149
克 U+514B
兌 U+514C
免 U+514D
兑 U+5151
兒 U+5152
兔 U+5154
兖 U+5156
兗 U+5157
党 U+515A
兜 U+515C
兢 U+5162
入 U+5165
內 U+5167
全 U+5168
兩 U+5169
八 U+516B
公 U+516C
六 U+516D
兮 U+516E
兰 U+5170
共 U+5171
关 U+5173
兴 U+5174
兵 U+5175
其 U+5176
具 U+5177
典 U+5178
兹 U+5179
养 U+517B
兼 U+517C
兽 U+517D
冀 U+5180
内 U+5185
冇 U+5187
冈 U+5188
冉 U+5189
冊 U+518A
冋 U+518B
册 U+518C
再 U+518D
冑 U+5191
冒 U+5192
冕 U+5195
冗 U+5197
写 U+5199
军 U+519B
农 U+519C
冠 U+51A0
冢 U+51A2
冤 U+51A4
冥 U+51A5
冪 U+51AA
冫 U+51AB
冬 U+51AC
冯 U+51AF
冰 U+51B0
冲 U+51B2
决 U+51B3
况 U+51B5
冶 U+51B6
冷 U+51B7
冻 U+51BB
冼 U+51BC
冽 U+51BD
净 U+51C0
凃 U+51C3
凄 U+51C4
准 U+51C6
凈 U+51C8
凉 U+51C9
凋 U+51CB
凌 U+51CC
凍 U+51CD
减 U+51CF
凑 U+51D1
凖 U+51D6
凙 U+51D9
凚 U+51DA
凛 U+51DB
凜 U+51DC
凝 U+51DD
几 U+51E0
凡 U+51E1
凤 U+51E4
凥 U+51E5
凫 U+51EB
凭 U+51ED
凯 U+51EF
凰 U+51F0
凱 U+51F1
凳 U+51F3
凶 U+51F6
凸 U+51F8
凹 U+51F9
出 U+51FA
击 U+51FB
凼 U+51FC
函 U+51FD
凿 U+51FF
刀 U+5200
刁 U+5201
刂 U+5202
刃 U+5203
分 U+5206
切 U+5207
刈 U+5208
刊 U+520A
刍 U+520D
刎 U+520E
刏 U+520F
刑 U+5211
划 U+5212
刖 U+5216
列 U+5217
刘 U+5218
则 U+5219
刚 U+521A
创 U+521B
初 U+521D
删 U+5220
判 U+5224
別 U+5225
刨 U+5228
利 U+5229
刪 U+522A
别 U+522B
刭 U+522D
刮 U+522E
到 U+5230
刴 U+5234
制 U+5236
刷 U+5237
券 U+5238
刹 U+5239
刺 U+523A
刻 U+523B
刽 U+523D
剁 U+5241
剂 U+5242
剃 U+5243
剄 U+5244
剅 U+5245
則 U+5247
削 U+524A
剋 U+524B
剌 U+524C
前 U+524D
剎 U+524E
剐 U+5250
剑 U+5251
剔 U+5254
剕 U+5255
剖 U+5256
剚 U+525A
剛 U+525B
剜 U+525C
剝 U+525D
剢 U+5262
剣 U+5263
剥 U+5265
剧 U+5267
剩 U+5269
剪 U+526A
剮 U+526E
副 U+526F
剰 U+5270
剱 U+5271
割 U+5272
剳 U+5273
剴 U+5274
創 U+5275
剶 U+5276
剷 U+5277
剺 U+527A
剽 U+527D
剾 U+527E
剿 U+527F
劃 U+5283
劄 U+5284
劇 U+5287
劈 U+5288
劉 U+5289
劊 U+528A
劍 U+528D
劐 U+5290
劑 U+5291
劖 U+5296
劗 U+5297
劙 U+5299
力 U+529B
劜 U+529C
劝 U+529D
办 U+529E
功 U+529F
加 U+52A0
务 U+52A1
劣 U+52A3
动 U+52A8
助 U+52A9
努 U+52AA
劫 U+52AB
劭 U+52AD
励 U+52B1
劲 U+52B2
劳 U+52B3
効 U+52B9
劼 U+52BC
劾 U+52BE
势 U+52BF
勁 U+52C1
勃 U+52C3
勇 U+52C7
勉 U+52C9
勋 U+52CB
勒 U+52D2
動 U+52D5
勘 U+52D8
務 U+52D9
勚 U+52DA
勛 U+52DB
勝 U+52DD
勞 U+52DE
募 U+52DF
勢 U+52E2
勤 U+52E4
勩 U+52E9
勯 U+52EF
勰 U+52F0
勳 U+52F3
勵 U+52F5
勸 U+52F8
勺 U+52FA
勻 U+52FB
勼 U+52FC
勾 U+52FE
勿 U+52FF
匀 U+5300
匄 U+5304
包 U+5305
匆 U+5306
匈 U+5308
匋 U+530B
匌 U+530C
匍 U+530D
匏 U+530F
匐 U+5310
匕 U+5315
化 U+5316
北 U+5317
匙 U+5319
匝 U+531D
匟 U+531F
匠 U+5320
匡 U+5321
匣 U+5323
匦 U+5326
匨 U+5328
匪 U+532A
匭 U+532D
匯 U+532F
匵 U+5335
匹 U+5339
区 U+533A
医 U+533B
匼 U+533C
匽 U+533D
匾 U+533E
匿 U+533F
區 U+5340
十 U+5341
千 U+5343
卄 U+5344
卅 U+5345
升 U+5347
午 U+5348
卉 U+5349
半 U+534A
华 U+534E
协 U+534F
卑 U+5351
卒 U+5352
卓 U+5353
協 U+5354
单 U+5355
卖 U+5356
南 U+5357
博 U+535A
卜 U+535C
卞 U+535E
卟 U+535F
占 U+5360
卡 U+5361
卢 U+5362
卤 U+5364
卦 U+5366
卧 U+5367
卩 U+5369
卫 U+536B
卮 U+536E
卯 U+536F
印 U+5370
危 U+5371
即 U+5373
却 U+5374
卵 U+5375
卷 U+5377
卸 U+5378
卹 U+5379
卺 U+537A
卻 U+537B
卿 U+537F
厂 U+5382
厄 U+5384
厅 U+5385
历 U+5386
厉 U+5389
压 U+538B
厌 U+538C
厍 U+538D
厕 U+5395
厖 U+5396
厘 U+5398
厙 U+5399
厚 U+539A
原 U+539F
厠 U+53A0
厢 U+53A2
厣 U+53A3
厥 U+53A5
厦 U+53A6
厨 U+53A8
厩 U+53A9
厫 U+53AB
厭 U+53AD
厮 U+53AE
厲 U+53B2
厴 U+53B4
去 U+53BB
厾 U+53BE
县 U+53BF
叁 U+53C1
参 U+53C2
參 U+53C3
又 U+53C8
叉 U+53C9
及 U+53CA
友 U+53CB
双 U+53CC
反 U+53CD
发 U+53D1
叔 U+53D4
取 U+53D6
受 U+53D7
变 U+53D8
叙 U+53D9
叛 U+53DB
叞 U+53DE
叟 U+53DF
叠 U+53E0
叢 U+53E2
口 U+53E3
古 U+53E4
句 U+53E5
另 U+53E6
叨 U+53E8
叩 U+53E9
只 U+53EA
叫 U+53EB
召 U+53EC
叭 U+53ED
叮 U+53EE
可 U+53EF
台 U+53F0
叱 U+53F1
史 U+53F2
右 U+53F3
叵 U+53F5
叶 U+53F6
号 U+53F7
司 U+53F8
叹 U+53F9
叼 U+53FC
叽 U+53FD
叿 U+53FF
吁 U+5401
吂 U+5402
吃 U+5403
各 U+5404
吆 U+5406
合 U+5408
吉 U+5409
吊 U+540A
吋 U+540B
同 U+540C
名 U+540D
后 U+540E
吏 U+540F
吐 U+5410
向 U+5411
吒 U+5412
吓 U+5413
吕 U+5415
吗 U+5417
君 U+541B
吝 U+541D
吞 U+541E
吟 U+541F
吠 U+5420
吣 U+5423
吤 U+5424
吥 U+5425
否 U+5426
吧 U+5427
吨 U+5428
吩 U+5429
含 U+542B
听 U+542C
吭 U+542D
吮 U+542E
启 U+542F
吱 U+5431
吳 U+5433
吴 U+5434
吵 U+5435
吶 U+5436
吸 U+5438
吹 U+5439
吺 U+543A
吻 U+543B
吼 U+543C
吾 U+543E
吿 U+543F
呀 U+5440
呂 U+5442
呃 U+5443
呆 U+5446
呈 U+5448
呉 U+5449
告 U+544A
呐 U+5450
呑 U+5451
呒 U+5452
呓 U+5453
呕 U+5455
呖 U+5456
员 U+5458
呛 U+545B
呜 U+545C
呡 U+5461
呢 U+5462
呣 U+5463
呤 U+5464
呦 U+5466
周 U+5468
呯 U+546F
呱 U+5471
呲 U+5472
味 U+5473
呴 U+5474
呵 U+5475
呶 U+5476
呷 U+5477
呸 U+5478
呻 U+547B
呼 U+547C
命 U+547D
呾 U+547E
咀 U+5480
咂 U+5482
咄 U+5484
咆 U+5486
咈 U+5488
咋 U+548B
和 U+548C
咍 U+548D
咎 U+548E
咏 U+548F
咐 U+5490
咒 U+5492
咔 U+5494
咕 U+5495
咖 U+5496
咙 U+5499
咚 U+549A
咛 U+549B
咝 U+549D
咢 U+54A2
咣 U+54A3
咤 U+54A4
咥 U+54A5
咦 U+54A6
咧 U+54A7
咨 U+54A8
咩 U+54A9
咪 U+54AA
咫 U+54AB
咬 U+54AC
咭 U+54AD
咯 U+54AF
咱 U+54B1
咳 U+54B3
咷 U+54B7
咸 U+54B8
咻 U+54BB
咽 U+54BD
咾 U+54BE
咿 U+54BF
哀 U+54C0
品 U+54C1
哂 U+54C2
哄 U+54C4
哅 U+54C5
哆 U+54C6
哇 U+54C7
哈 U+54C8
哉 U+54C9
哊 U+54CA
哌 U+54CC
响 U+54CD
哎 U+54CE
哏 U+54CF
哐 U+54D0
哑 U+54D1
哒 U+54D2
哓 U+54D3
哔 U+54D4
哕 U+54D5
哗 U+54D7
哙 U+54D9
哜 U+54DC
哝 U+54DD
哞 U+54DE
哟 U+54DF
員 U+54E1
哢 U+54E2
哥 U+54E5
哦 U+54E6
哧 U+54E7
哨 U+54E8
哩 U+54E9
哪 U+54EA
哭 U+54ED
哮 U+54EE
哱 U+54F1
哲 U+54F2
哺 U+54FA
哼 U+54FC
哽 U+54FD
哿 U+54FF
唁 U+5501
唆 U+5506
唇 U+5507
唉 U+5509
唊 U+550A
唎 U+550E
唏 U+550F
唐 U+5510
唑 U+5511
唓 U+5513
唔 U+5514
唛 U+551B
唝 U+551D
唠 U+5520
唢 U+5522
唣 U+5523
唤 U+5524
唥 U+5525
唧 U+5527
唩 U+5529
唬 U+552C
唭 U+552D
售 U+552E
唯 U+552F
唰 U+5530
唱 U+5531
唳 U+5533
唶 U+5536
唷 U+5537
唸 U+5538
唻 U+553B
唾 U+553E
唿 U+553F
啀 U+5540
啁 U+5541
啃 U+5543
啄 U+5544
商 U+5546
啊 U+554A
問 U+554F
啐 U+5550
啓 U+5553
啕 U+5555
啖 U+5556
啘 U+5558
啜 U+555C
啞 U+555E
啟 U+555F
啡 U+5561
啣 U+5563
啤 U+5564
啥 U+5565
啦 U+5566
啧 U+5567
啨 U+5568
啪 U+556A
啫 U+556B
啬 U+556C
啭 U+556D
啮 U+556E
啯 U+556F
啰 U+5570
啵 U+5575
啶 U+5576
啷 U+5577
啸 U+5578
啻 U+557B
啼 U+557C
啾 U+557E
喀 U+5580
喂 U+5582
喃 U+5583
善 U+5584
喆 U+5586
喇 U+5587
喈 U+5588
喉 U+5589
喊 U+558A
喋 U+558B
喌 U+558C
喏 U+558F
喐 U+5590
喑 U+5591
喔 U+5594
喖 U+5596
喘 U+5598
喙 U+5599
喚 U+559A
喜 U+559C
喝 U+559D
喟 U+559F
喥 U+55A5
喧 U+55A7
喪 U+55AA
喫 U+55AB
喬 U+55AC
單 U+55AE
喱 U+55B1
喲 U+55B2
喳 U+55B3
喵 U+55B5
喷 U+55B7
喺 U+55BA
喻 U+55BB
喽 U+55BD
