vocabulary,originalEntry,explanation,example,pinYin,location,place,source
□蛄(□蛄),[原写法即现写法],〈名〉蜗牛。（〈名〉蝸牛。）,[暂无],aon ku (ɑ̃⁵⁵ ku²¹ ),本沪小片,嘉定·真如,真如吴语词语整理稿
□花日头(□花日頭),[原写法即现写法],形容天气酷热，夏天多用。同〖西晒日头〗ɕi⁵⁵ ɕio⁵⁵ ȵiɪʔ²² dɤ²¹。|| 很多地方有“白花日头”一词，表示“光照不足的太阳”，“□花日头”有可能是“白花日头”的变体，可能不是“形容天气酷热”的意思。（形容天氣酷熱，夏天多用。同〖西曬日頭〗ɕi⁵⁵ ɕio⁵⁵ ȵiɪʔ²² dɤ²¹。 || 很多地方有“白花日頭”一詞，表示“光照不足的太陽”，“□花日頭”有可能是“白花日頭”的變體，可能不是“形容天氣酷熱”的意思。）,[暂无],bu huo gniq deu (bu²² huo⁵⁵ ȵiɪʔ⁵⁵ dɤ⁵³ ),本沪小片,嘉定·真如,真如吴语词语整理稿
□紧(□緊),[原写法即现写法],心情紧张。（心情緊張。）,[暂无],tsoeq cien (tsœʔ⁵⁵ tɕiəŋ⁵⁵),本沪小片,嘉定·真如,真如吴语词语整理稿
□紧(□緊),[原写法即现写法],（脚部）酸痛，可以由身上负荷物件太重导致。（（腳部）酸痛，可以由身上負荷物件太重導致。）,[暂无],zy cien (zɿ³⁵ tɕiəŋ⁵³ ),本沪小片,嘉定·真如,真如吴语词语整理稿
□篱拆壁(□籬拆壁),[原写法即现写法],想方设法。|| 见于上海莘庄《莘庄方言》。（想方設法。 || 見於上海莘莊《莘莊方言》。）,[暂无],gan li tshaeq piq (gã³⁵ li⁵⁵ tsʰæʔ⁵⁵ ɓɪʔ⁵⁵),本沪小片,嘉定·真如,真如吴语词语整理稿
□满(□滿),[原写法即现写法],（东西）挤满。（（東西）擠滿。）,[暂无],guaeq me (guæʔ²² me³⁵ ),本沪小片,嘉定·真如,真如吴语词语整理稿
□满□足(□滿□足),[原写法即现写法],同〖挂满挂足〗。（同〖掛滿掛足〗。）,[暂无],dan me dan tsoq (dã²² me⁵⁵ dã⁵⁵ tsoʔ²¹ ),本沪小片,嘉定·真如,真如吴语词语整理稿
□起来(□起來),[原写法即现写法],高温：爿天~嗰。（高溫：爿天~嗰。）,[暂无],hon chi le (hoŋ²² tɕʰi⁵⁵ le²¹ ),本沪小片,嘉定·真如,真如吴语词语整理稿
□臀(□臀),[原写法即现写法],便后擦屁股。（便後擦屁股。）,[暂无],kae den (kɛ⁵⁵ dəŋ²² ),本沪小片,嘉定·真如,真如吴语词语整理稿
□小囡(□小囡),[原写法即现写法],抚养孩子。同〖领小囡〗liŋ²² ɕiɔ⁵⁵ nø²¹。|| 嘉宝方言。（撫養孩子。同〖領小囡〗liŋ²² ɕiɔ⁵⁵ nø²¹。 || 嘉寶方言。）,[暂无],han siau noe (hã²² ɕiɔ⁵⁵ nø²¹),本沪小片,嘉定·真如,真如吴语词语整理稿
□心□□(□心□□),[原写法即现写法],举棋不定。（舉棋不定。）,[暂无],vaon sin vaon veq (vɑ̃²² siŋ⁵⁵ vɑ̃⁵⁵ vəʔ²¹ ),本沪小片,嘉定·真如,真如吴语词语整理稿
□牙齿(□牙齒),[原写法即现写法],磨牙。（磨牙。）,[暂无],guaeq nga tshy (guæʔ²² ŋa²² tsʰɿ³⁵ ),本沪小片,嘉定·真如,真如吴语词语整理稿
……拉担(……拉擔),[原写法即现写法],……那里（……那裏）,[暂无],la tae(la⁵⁵ tɛ²¹),华娄小片,青浦·沈巷,沈巷镇张马村【散记】
……拉嘞(……拉嘞),[原写法即现写法],[语气词]相当于“已经……了”、早就……了（花红～）。（[語氣詞]相當於“已經……了”、早就……了（花紅～）。）,[暂无],la³³ leq²(IPA暂无),《松江吴语词典》整理稿,,松府吴语词典整理稿
……拉哉(……拉哉),[原写法即现写法],[语气词]相当于“已经……了”、早就……了（花红～）。（[語氣詞]相當於“已經……了”、早就……了（花紅～）。）,[暂无],la³³ tse²(IPA暂无),《松江吴语词典》整理稿,,松府吴语词典整理稿
……来西(……來西),[原写法即现写法],[助词]……得很。（[助詞]……得很。）,[暂无],le²² si⁴⁴(IPA暂无),《松江吴语词典》整理稿,,松府吴语词典整理稿
……声恁(……聲恁),[原写法即现写法],……sã⁵⁵ nəŋ²¹ ……地一声（……sã⁵⁵ nəŋ²¹ ……地一聲）,[暂无],……san nen (IPA暂无),本沪小片,嘉定·真如,真如吴语词语整理稿
……勿过(……勿過),[原写法即现写法],[助词]①用于形容词后，表示“实在太……” （[助詞]①用於形容詞後，表示“實在太……”）,（酸～）,veq¹ ku²³(IPA暂无),《松江吴语词典》整理稿,,松府吴语词典整理稿
……勿过(……勿過),[原写法即现写法],[助词]②用在动词后，比不上（[助詞]②用在動詞後，比不上）,（跑～伊）,veq¹ ku²³(IPA暂无),《松江吴语词典》整理稿,,松府吴语词典整理稿
