【端午(节)】,【端午(节)】,°doehhngjik/°doewhujik/. °doehhng/°doewhu,’tø ɦŋ̍tɕiɪʔ /’tø ɦu tɕiɪʔ /. ’tø ɦŋ̍/’tø ɦu ,端午(节),toe55 ng33 ciq21
【中秋(节)】,【中秋(节)】,°zongqiujik/°zongqiu,’tsoŋ tɕʰiɤ tɕiɪʔ /’tsoŋ tɕʰiɤ ,中秋(节),tson55 chieu33 ciq21
【(大)年三十】,【(大)年三十】,dhunisesek/nisesek(dhunisesak/nisesak),duəŋ i sᴇ səʔ /ȵi sᴇ səʔ (duəŋ i sᴇ sᴀʔ /ȵi sᴇ sᴀʔ ),夏历除夕。,du22 gni55 se33 seq21
【年三十夜】,【年三十夜】,nisesekyha(nisesakyha),ȵi sᴇ səʔ ɦia (ȵi sᴇ sᴀʔ ɦia ),夏历除夕夜。,gni22 se55 seq3 ya21
【年夜卅边】,【年夜卅边】,niyhasebi,ȵi ɦia sᴇ pi ,夏历的年底。,gni22 ya55 se33 pi21
【去年(仔)】,【去年(仔)】,qunizy/quni,tɕʰyəŋ i tsɿ /tɕʰyəŋ i ,〈名〉去年。,chiu33 gni55 tsy21
【旧年(仔)】,【旧年(仔)】,jhiunizy/jhiuni,dʑyŋ i tsɿ /dʑyŋ i ,〈名〉去年。,jieu22 gni55 tsy21
【小月】,【小月】,xiaoyhuik/xiaonuik(xiaoyhuik),ɕiɔ ɦyʔ /ɕiɔ nu iɪʔ (ɕiɔ ɦyʔ ),〈名〉夏历只有廿九天的月份。今也指公历只有三十天的月份。,shiau33 yuq4
【上个月】,【上个月】,shangghekyhuik/shanghek yhuik(shanghhakyhuik/shanghhak yhuik),zɑ̃ gəʔ ɦyʔ /zɑ̃ həʔ  ɦyʔ (zɑ̃ ɦᴀʔ ɦyʔ /zɑ̃ ɦᴀʔ ɦyʔ ),上个月,zaon22 geq5 yuq21
【天亮快】,【天亮快】,°tilankua(°tiliangkua),’tʰi la ̃ kʰu a (’tʰi liɑ̃ kʰu a ),天快亮的时候；黎明前：伊～就发寒热了。,thi55 lian33 khua21
【中午】,【中午】,°zongwhu,’tsoŋ ɦu ,中午,tson55 wu21
【挨夜快】,【挨夜快】,°ayhakua,’a ɦiᴀʔ u a ,〈名〉傍晚。,a55 ya33 khua21
【傍晚辰光】,【傍晚辰光】,bhangwheshenguang,bɑ̃ ɦuᴇ zəŋ kuɑ̃ ,傍晚。,baon22 we55 zen33 kuaon21
【黄昏头】,【黄昏头】,whanghundhou,ɦuɑ̃ huəŋ dɤ ,〈名〉傍晚。,waon22 huen55 deu21
【黄昏戌时】,【黄昏戌时】,whanghunxikshy,ɦuɑ̃ huəŋ ɕiɪʔ zɿ ,﹝旧﹞晚上七时至九时。有时泛指晚上。,waon22 huen55 shiq3 zy21
【夜点头】,【夜点头】,yhadihou,ɦia ti hɤ ,〈名〉夜里的时候。,ya22 ti55 deu21
【早晏(点)】,【早晏(点)】,zaoedi/zaooe,tsa ø ti /tsɔ ø ,迟早：事体~要穿棚，瞒勿过去个。,tsau33 e55 ti21
【一日仔】,【一日仔】,yiknikz1,iɪʔ ȵiɪʔ ts1,那天：～侬来寻我，我正好出门了。,iq3 gniq5 tsy21
【前两年】,【前两年】,xhilianni(xhiliangni),ʑi lia ̃ ȵi (ʑi liɑ̃ ȵi ),前几年。或指去年和前年。,zhi22 lian55 gni21
【前两日】,【前两日】,xhiliannik(xhiliangnik),ʑi lia ̃ ȵiɪʔ (ʑi liɑ̃ ȵiɪʔ ),前几天。或指昨天和前天。,zhi22 lian55 gniq21
【近抢把】,【近抢把】,jinqianbo(jhinqiangbo),tɕiŋ tɕʰia ̃ po (dʑiŋ tɕʰiɑ̃ po ),近段时间里。,cin33 chian55 po21
【老里八早】,【老里八早】,laolibakza o,lɔ li pᴀʔ tsa o ,①很早很早：我～就等辣门口头。②很久以前：我～就养成搿种好习惯了。,lau22 li55 paq3 tsau21
【搿歇横里】,【搿歇横里】,ghekxikwhanli(ghakxikwhangli),gəʔ ɕiɪʔ ɦu a ̃ li (gᴀʔ ɕiɪʔ ɦuɑ̃ li ),现在，这时候：~侬勿要出去。,geq1 shiq2 wan22 li23
【埃歇横里】,【埃歇横里】,°exikwhanli(°exikwhangli),’ᴇ ɕiɪʔ ɦu a ̃ li (’ᴇ ɕiɪʔ ɦuɑ̃ li ),当年，当时，那时候：～搿条马路老静个。,e55 shiq3 wan33 li21
【晏歇(点)】,【晏歇(点)】,exikdi/exik/exi,ᴇ ɕiɪʔ ti /ᴇ ɕiɪʔ /ᴇ ɕi ,①过一会儿：侬要多叮嘱伊两声，～伊勿要忘记脱仔②〈副〉一会儿：当心小心点用，～弄脱仔勿好个。◇“歇”又读xi，是儿化后再失落儿化韵所致。,e33 shiq5 ti21
【前𡉑】,【前𡉑】,xhidha,ʑi da ,前次：～侬末勿来，现在倒来了。,zhi22 da44
【后𡉑】,【后𡉑】,hhoudha,ɦɤ da ,后次：侬前块呒没去，~要去了,gheu22 da44
【上半世】,【上半世】,shangboeshy,zɑ̃ pø zɿ ,〈名〉上半辈子。,zaon22 poe55 zy21
【下半世】,【下半世】,hhoboeshy,ɦo pø zɿ ,〈名〉下半辈子。,gho22 poe55 zy21
【闲档(里)】,【闲档(里)】,hhedangli/hhedang,ɦᴇ tɑ̃ li /ɦᴇ tɑ̃ ,〈名〉空歇时间里：我碰着～，就公园去走走。,ghe22 taon55 li21
【忙档(里)】,【忙档(里)】,mangdangli/mangdang,mɑ̃ tɑ̃ li /mɑ̃ tɑ̃ ,〈名〉忙的一段时间里：侬勿要拣我~来,maon22 taon55 li21
【挨末样】,【挨末样】,amokyhan(amokyhang),a moʔ ɦia ̃ (a moʔ ɦiɑ̃ ),﹝旧﹞差不多的时候。,a33 moq5 yan21
【前𡉑】,【前𡉑】,xhidha,ʑi da ,前次：～侬末勿来，现在倒来了。,zhi22 da44
【后𡉑】,【后𡉑】,hhoudha,ɦɤ da ,后次：侬前块呒没去，~要去了,gheu22 da44
【生活】,【生活】,°sanwhek(°sangwhak),’sa ̃ ɦuəʔ (’sɑ̃ ɦuᴀʔ ),〈名〉工作，手艺；活儿：做～丨搿点～勿要捱到明朝了。,san55 weq21
【做生活】,【做生活】,zusanwhek(zusangwhak),tsu sa ̃ ɦuəʔ (tsu sɑ̃ ɦuᴀʔ ),干活。,tsu33 san55 weq21
【朝九晚五】,【朝九晚五】,°zao jiu we ng,’tsɔ tɕiɤ uᴇ ŋ,上班族的工作时间。简称“上班族”：伊拉是,tsau52 cieu34 ue34 ng23
【待退休】,【待退休】,dhetexiu,dᴇ tʰᴇ ɕiɤ ,提早回家，发工资但不工作：老李搿一抢已经勿去上班了，蹲辣屋里向～了。,de22 the55 shieu21
【生活势劲】,【生活势劲】,°sanwheksyjin(°sangwhaksyjin),’sa ̃ ɦuəʔ sɿ tɕiŋ (’sɑ̃ ɦuᴀʔ sɿ tɕiŋ ),称讨厌的事或活儿：今朝眼～是做勿完，只好明朝再做！,san55 weq3 sy33 cin21
【赶生活】,【赶生活】,goesanwhek(goesangwhak),kø sa ̃ ɦuəʔ (kø sɑ̃ ɦuᴀʔ ),把活儿用缩短的时间赶做出来。,koe33 san55 weq21
【出生活】,【出生活】,ceksanwhek(caksangwhok),tsʰəʔ sa ̃ ɦuəʔ (tsʰᴀʔ sɑ̃ ɦu oʔ ),完成的活计多：今朝大家老卖力个，蛮～个。,tsheq3 san55 weq21
【马达】,【马达】,modha,mo da ,〈名〉电动机。◇英语motor的音译。,mo22 da44
【凡尔】,【凡尔】,fhehher,vᴇ ɦᴇ əl,〈名〉阀，活门。◇英语valve的音译。,ve22 er44
【滑牙】,【滑牙】,whaknga,ɦuᴀʔ ŋa ,齿轮等因使用时久或不当磨损，机器因打滑而不能正常开动。,waq2 nga44
【压勿杀】,【压勿杀】,akfheksak(akfhaksak),ᴀʔ vəʔ sᴀʔ (ᴀʔ vᴀʔ sᴀʔ ),〈名〉千斤顶。,aq3 veq5 saq21
【剚锥】,【剚锥】,°zyzoe,’tsɿ tsø ,〈名〉锥子。,tsy55 tsoe21
【上光】,【上光】,shang°gang,zɑ̃ ’kɑ̃ ,涂上光亮剂。,zaon22 kuaon44
【修棕棚】,【修棕棚】,°xiu °zongban(°xiu °zongbang),’ɕiɤ ’tsoŋ pa ̃ (’ɕiɤ ’tsoŋ pɑ̃ ),修补棕棚。,shieu52 tson55 pan21
【锯子】,【锯子】,juzy/gezy/ghazy,tɕy tsɿ /kᴇ tsɿ /ga tsɿ ,锯子,ga22 tsy44
